item,itemLabel,insee,pop,area,popDate
http://www.wikidata.org/entity/Q1003645,Cuillé,53088,929,21.66,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003728,Saint-Abit,64469,314,4.22,2018-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003728,Saint-Abit,64469,311,4.22,2019-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003728,Saint-Abit,64469,308,4.22,2020-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003614,Catteville,50105,106,4.57,1968-03-01T00:00:00Z
http://www.wikidata.org/entity/Q1003728,Saint-Abit,64469,306,4.22,2021-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003728,Saint-Abit,64469,300,4.22,2022-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003614,Catteville,50105,101,4.57,1975-02-20T00:00:00Z
http://www.wikidata.org/entity/Q1003567,Aucey-la-Plaine,50019,444,9.39,1968-03-01T00:00:00Z
http://www.wikidata.org/entity/Q1003567,Aucey-la-Plaine,50019,442,9.39,1975-02-20T00:00:00Z
http://www.wikidata.org/entity/Q1003567,Aucey-la-Plaine,50019,419,9.39,1982-03-04T00:00:00Z
http://www.wikidata.org/entity/Q1003560,Braffais,50071,244,5.79,1968-03-01T00:00:00Z
http://www.wikidata.org/entity/Q1003560,Braffais,50071,244,5.79,1968-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003567,Aucey-la-Plaine,50019,430,9.39,1990-03-05T00:00:00Z
http://www.wikidata.org/entity/Q1003560,Braffais,50071,225,5.79,1975-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003560,Braffais,50071,225,5.79,1975-02-20T00:00:00Z
http://www.wikidata.org/entity/Q1003651,Châlons-du-Maine,53049,709,9.66,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003560,Braffais,50071,275,5.79,1962-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003651,Châlons-du-Maine,53049,716,9.66,2016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003651,Châlons-du-Maine,53049,708,9.66,2017-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003581,Beauchamps,50038,348,4.1,1968-03-01T00:00:00Z
http://www.wikidata.org/entity/Q1003651,Châlons-du-Maine,53049,708,9.66,2018-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003651,Châlons-du-Maine,53049,711,9.66,2019-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003560,Braffais,50071,212,5.79,1982-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003560,Braffais,50071,212,5.79,1982-03-04T00:00:00Z
http://www.wikidata.org/entity/Q1003651,Châlons-du-Maine,53049,708,9.66,2020-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003581,Beauchamps,50038,314,4.1,1975-02-20T00:00:00Z
http://www.wikidata.org/entity/Q1003651,Châlons-du-Maine,53049,699,9.66,2021-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003567,Aucey-la-Plaine,50019,362,9.39,1999-03-08T00:00:00Z
http://www.wikidata.org/entity/Q1003651,Châlons-du-Maine,53049,691,9.66,2022-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003637,Entrammes,53094,1019,26.16,1968-03-01T00:00:00Z
http://www.wikidata.org/entity/Q1003736,Séby,64514,201,5.97,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003736,Séby,64514,197,5.97,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003637,Entrammes,53094,1183,26.16,1975-02-20T00:00:00Z
http://www.wikidata.org/entity/Q1003560,Braffais,50071,181,5.79,1990-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003560,Braffais,50071,181,5.79,1990-03-05T00:00:00Z
http://www.wikidata.org/entity/Q1003736,Séby,64514,202,5.97,2016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003581,Beauchamps,50038,299,4.1,1982-03-04T00:00:00Z
http://www.wikidata.org/entity/Q1003567,Aucey-la-Plaine,50019,440,9.39,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003736,Séby,64514,195,5.97,2017-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003736,Séby,64514,194,5.97,2018-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003736,Séby,64514,196,5.97,2019-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003736,Séby,64514,201,5.97,2020-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003736,Séby,64514,205,5.97,2021-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003736,Séby,64514,210,5.97,2022-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003637,Entrammes,53094,1582,26.16,1982-03-04T00:00:00Z
http://www.wikidata.org/entity/Q1003581,Beauchamps,50038,314,4.1,1990-03-05T00:00:00Z
http://www.wikidata.org/entity/Q1003560,Braffais,50071,163,5.79,1999-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003560,Braffais,50071,163,5.79,1999-03-08T00:00:00Z
http://www.wikidata.org/entity/Q1003581,Beauchamps,50038,354,4.1,1999-03-08T00:00:00Z
http://www.wikidata.org/entity/Q1003596,Catz,50107,130,2.78,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003596,Catz,50107,135,2.78,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003596,Catz,50107,141,2.78,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003731,Bourdettes,64145,507,2.24,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003596,Catz,50107,139,2.78,2016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003731,Bourdettes,64145,519,2.24,2016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003596,Catz,50107,121,2.78,2017-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003731,Bourdettes,64145,515,2.24,2017-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003596,Catz,50107,111,2.78,2018-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003731,Bourdettes,64145,514,2.24,2018-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003731,Bourdettes,64145,513,2.24,2019-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003731,Bourdettes,64145,512,2.24,2020-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003731,Bourdettes,64145,509,2.24,2021-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003731,Bourdettes,64145,506,2.24,2022-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003637,Entrammes,53094,2219,26.16,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003750,Higuères-Souye,64262,284,7.35,2010-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003750,Higuères-Souye,64262,284,7.35,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003750,Higuères-Souye,64262,280,7.35,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003772,Estigarde,40096,98,29.65,1968-03-01T00:00:00Z
http://www.wikidata.org/entity/Q1003830,Eyres-Moncube,40098,317,12.19,1990-03-05T00:00:00Z
http://www.wikidata.org/entity/Q1003772,Estigarde,40096,97,29.65,1975-02-20T00:00:00Z
http://www.wikidata.org/entity/Q1003772,Estigarde,40096,93,29.65,1982-03-04T00:00:00Z
http://www.wikidata.org/entity/Q1003830,Eyres-Moncube,40098,342,12.19,1999-03-08T00:00:00Z
http://www.wikidata.org/entity/Q1003661,Beaudricourt,62091,93,4.58,2016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003661,Beaudricourt,62091,90,4.58,2017-01-01T00:00:00Z
